Neuron_type,Modality,Neurotransmitter,Ciliated,Pharyngeal,Nb_Processes,Process_Position,Branching,Sexual_dimorphism,Mechanosensation,Gentle_Touch,Harsh_Touch,Nociception,Proprioception,Chemosensation,Thermosensation,Photosensation,Electrosensation,Texture,Oxygen_sensory,CO2_sensory,Odorsensation,Pheromone_sensory,Magnetic_Field,Humidity,Osmosensation,Dauer_Entry
M3,motor,glu,No,pharyngeal,2,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4,motor,"glu,ACh",No,pharyngeal,2,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5,motor,ACh,No,pharyngeal,2,,2,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC,motor,ACh,No,pharyngeal,2,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,"motor,interneuron",glu,No,pharyngeal,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSM,"sensory,motor",5HT,No,pharyngeal,3,,3,none,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OLL,sensory,glu,Yes,no,2,,1,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQ,"sensory,interneuron",glu,Yes,no,2,,1,none,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDA,motor,ACh,No,no,1,DNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDB,motor,ACh,No,no,1,DNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDE,sensory,dopamine,Yes,no,2,VNC,1,none,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PHA,sensory,glu,Yes,no,2,,0,none,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PHB,sensory,"glu,5HT",Yes,no,2,,0,none,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PHC,sensory,glu,No,no,2,,0,none,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
